trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
74,0.00880934577435255,35,0.00880934577435255,0.0039854105561971664,0.00037736623198725283,0.04231908590774439,4,4,896,25,0.24696958219633713,0.00584915796950185,0.0003292810648226249,elu,64
67,0.009454874321818352,27,0.009454874321818352,0.003738969098776579,0.00200031534768641,0.03761696525132835,4,4,832,25,0.2514820552708066,0.0061208470076975,0.0001932929876439511,relu,64
21,0.011320595629513264,32,0.011320595629513264,0.005059907212853432,-0.0009442635346204042,0.04231908590774439,4,2,320,25,0.26784746621426897,0.002392214679223267,8.793308070341507e-05,swish,128
54,0.013210829347372055,20,0.013210829347372055,0.005963634233921766,-0.0010499786585569382,0.04231908590774439,4,4,896,25,0.28539629937440697,0.0029275890213645373,0.00020006696743632657,elu,64
43,0.013516107574105263,22,0.013516107574105263,0.005668815691024065,0.0027362578548491,0.07993605115907274,4,2,192,25,0.2545824405931154,0.003482057708156368,3.157826242899982e-05,elu,64
57,0.014426288194954395,23,0.014426288194954395,0.005551124922931194,-0.0014571482315659523,0.03761696525132835,4,4,896,25,0.30066913336560486,0.0031732193514164455,0.0005102247913961826,elu,64
32,0.014741403982043266,25,0.014741403982043266,0.0070988815277814865,-1.2115969184378628e-05,0.032914844594912306,4,2,192,25,0.17234883712682553,0.000595712096539192,1.2584362506375471e-05,elu,64
53,0.015108918771147728,25,0.015108918771147728,0.004934548866003752,0.004793579690158367,0.05172332722057649,4,4,896,25,0.2851759692612298,0.003068136458215067,0.00021175398813929114,elu,64
58,0.015570423565804958,25,0.015570423565804958,0.006981602869927883,-0.0024737080093473196,0.05172332722057649,4,4,896,25,0.30614694139757825,0.007011173921668064,0.0007490560237854036,elu,64
24,0.01577695831656456,27,0.01577695831656456,0.006585637107491493,-0.002313501201570034,0.04702120656416044,4,2,192,25,0.29006731113311013,0.002999335645766551,0.00013998311391639915,swish,128
65,0.01591569371521473,23,0.01591569371521473,0.00707040773704648,-0.0006697594653815031,0.028212723938496262,4,4,960,25,0.30604640355739604,0.00501695756617899,0.0004321453220069191,elu,64
75,0.015998337417840958,23,0.015998337417840958,0.00803112518042326,-0.0011202633613720536,0.09404241312832087,4,4,832,25,0.24630067208700795,0.004185924693066216,0.0003379830983225598,elu,64
72,0.016499700024724007,25,0.016499700024724007,0.005937768612056971,-0.004106960725039244,0.07993605115907274,3,4,896,25,0.2279787922702351,0.0018315903872467263,0.00025918710877831066,relu,64
52,0.016520436853170395,23,0.016520436853170395,0.006242466624826193,0.0011000154772773385,0.05172332722057649,4,4,896,25,0.2803900542816379,0.0030752202219994198,0.00023596146184740933,elu,64
31,0.01680877059698105,28,0.01680877059698105,0.007726551033556461,-0.0010579036315903068,0.108148775097569,4,2,192,25,0.21889008896672044,0.0006518033602133252,1.5826932424151244e-05,elu,64
44,0.01690763421356678,25,0.01690763421356678,0.006817915011197329,0.004008205607533455,0.04702120656416044,4,2,192,25,0.2590938887876537,0.004013044770263297,1.715880722955716e-05,elu,64
