trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
62,0.011646723374724388,33,0.011646723374724388,0.004836344160139561,0.001713148900307715,0.04231908590774439,4,2,576,25,0.21203052968117153,0.005390904992398201,4.063934838241307e-06,relu,128
48,0.013433887623250484,33,0.013433887623250484,0.004758160561323166,-0.0037593375891447067,0.06112756853340857,4,4,640,25,0.08265490687516716,0.0092336267166085,3.247856919237154e-06,relu,128
68,0.014221005141735077,31,0.014221005141735077,0.00672023743391037,-0.00020836199109908193,0.018808482625664175,4,1,384,25,0.16991619464795324,0.0020469819211250484,1.0559931261987221e-05,swish,32
44,0.014792908914387226,26,0.014792908914387226,0.00555909238755703,0.0007012626156210899,0.0752339305026567,3,3,640,25,0.13767153965059592,0.0007945147388834426,3.393353922289602e-06,relu,64
47,0.014896056614816189,21,0.014896056614816189,0.0061083887703716755,0.0013296013930812478,0.07993605115907274,3,4,640,25,0.0681705386131269,0.0010369684150479618,3.5223940362209514e-06,relu,64
26,0.01518541295081377,29,0.01518541295081377,0.006861063651740551,-0.0018707147100940347,0.04231908590774439,4,2,192,25,0.24955238882778397,0.0002790395352207233,5.334256865626576e-06,swish,32
16,0.015482475981116295,27,0.015482475981116295,0.006944578140974045,0.001573284505866468,0.08463817181548879,4,2,256,25,0.10111064245952527,0.00023230898414170666,5.016110620551737e-05,swish,32
56,0.015911489725112915,25,0.015911489725112915,0.006252114195376635,-0.0023078792728483677,0.06582968918982461,4,4,576,25,0.22751370345497998,0.0058326866180460546,5.7316624173038e-06,relu,128
55,0.015998749062418938,26,0.015998749062418938,0.007803349290043116,0.0007697796099819243,0.06112756853340857,3,2,576,25,0.21884185261728228,0.005451298355891797,1.6955873844013086e-05,relu,128
91,0.01740814745426178,23,0.01740814745426178,0.007866871543228626,-0.0010655124206095934,0.0752339305026567,4,2,640,25,0.07025892428464556,0.009882152207436812,8.57963745181017e-06,swish,128
71,0.017541656270623207,18,0.017541656270623207,0.007892781868577003,0.0030076238326728344,0.11285089575398505,4,1,512,25,0.14762863896214218,0.002286213885302814,4.371892453025437e-06,swish,32
14,0.018135901540517807,21,0.018135901540517807,0.008909745141863823,0.00030623425845988095,0.018808482625664175,3,2,192,25,0.2392594957558854,0.00884046495308419,2.619961230718336e-05,relu,128
57,0.018155870959162712,20,0.018155870959162712,0.007213426288217306,0.002309744944795966,0.04702120656416044,4,4,576,25,0.2542142984964978,0.001101023562626738,5.905958365633858e-06,swish,64
