trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
30,0.005575048271566629,39,0.005575048271566629,0.002310503739863634,-0.0001274283422389999,0.005989099838294304,4,3,704,25,0.18833642347891594,0.00043903411065893805,5.846226018310715e-06,swish,64,True
137,0.005745869595557451,31,0.005745869595557451,0.002478883368894458,1.1824763532786164e-05,0.023956399353177216,4,3,768,25,0.17952553579651923,0.0007852410300863513,1.3710727818617634e-05,elu,32,True
147,0.005959624424576759,33,0.005959624424576759,0.002691129921004176,-0.0009768569143489003,0.005989099838294304,4,3,768,25,0.16642569570217464,0.0006589806376203269,0.0011168222914586512,elu,32,True
158,0.006000642664730549,40,0.006000642664730549,0.0024877889081835747,-0.0011454358464106917,0.023956399353177216,4,3,768,25,0.2068585722189944,0.0005654144232749762,0.0007530463853980847,relu,32,True
95,0.006152994930744171,39,0.006152994930744171,0.002562226727604866,0.0009964786004275084,0.029945499191471523,4,3,640,25,0.1895913560173989,0.0006051309953969933,0.0017934636399150213,elu,32,True
26,0.006160585209727287,39,0.006160585209727287,0.003206009976565838,-0.00046377538819797337,0.023956399353177216,4,3,576,25,0.10659349832349946,0.0007440791767731316,0.00015878716851870875,swish,64,True
104,0.006417023483663797,39,0.006417023483663797,0.0033934751991182566,0.0017207926139235497,0.005989099838294304,4,3,704,25,0.19813506549932886,0.0005787429759704501,0.00210221590704004,elu,32,True
163,0.006471345201134682,24,0.006471345201134682,0.0034367255866527557,-0.00031993299489840865,0.011978199676588608,4,3,640,25,0.17492724904247794,0.0005068441951114157,0.0008258142189035411,relu,32,True
73,0.006603608839213848,37,0.006603608839213848,0.0031267297454178333,0.000322610983857885,0.011978199676588608,4,3,640,25,0.15937973494137597,0.0005386691373472956,1.7244563742326325e-05,elu,32,True
78,0.006787705235183239,28,0.006787705235183239,0.0032934301998466253,-0.0005325610982254148,0.011978199676588608,4,3,640,25,0.1813608350349484,0.00046859716044343335,0.0007526038435964667,elu,32,True
68,0.0067954291589558125,33,0.0067954291589558125,0.0033663022331893444,5.2139606850687414e-05,0.023956399353177216,4,3,512,25,0.19704276261939527,0.000832483246246195,0.00011694437627308158,elu,32,True
103,0.006955151911824942,24,0.006955151911824942,0.00281147682107985,0.0003844456805381924,0.005989099838294304,4,3,640,25,0.17001728931925195,0.0005922300139389847,0.0014469651942022714,elu,32,True
80,0.00702307652682066,28,0.00702307652682066,0.003009663661941886,-0.0006237366469576955,0.023956399353177216,4,2,768,25,0.17746064258238284,0.00043905834596438207,0.0008439637030662326,elu,32,True
171,0.007183675654232502,27,0.007183675654232502,0.0029536664951592684,0.0008985744207166135,0.005989099838294304,4,3,640,25,0.19294295516023216,0.000502051347940754,0.0010272318878837006,relu,32,True
