trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
20,0.08015389430841766,24,0.015108386985957623,0.00793661829084158,0.0002001407410716638,0.011978199676588608,4,4,640,15,0.11901166497870216,0.0010276471979248497,5.752396365294686e-05,swish,64
14,0.08236448841753362,26,0.013451394625008106,0.005859103053808212,-0.0031772598158568144,0.0,4,4,576,21,0.34966919310611844,0.000971831445184021,0.00015841418150754652,relu,64
0,0.10643696692799806,30,0.01720033399760723,0.009229435585439205,0.002447964157909155,0.0,4,3,256,21,0.2,0.0003,0.0001,relu,64
18,0.10957055813753983,13,0.018629662692546844,0.010907392017543316,-0.0007852622075006366,0.005989099838294304,4,3,704,21,0.2312475648503598,0.0005504435863824126,0.0009982461901809536,relu,32
27,0.10997718011114953,24,0.0164507944136858,0.007473249454051256,-0.0026213275268673897,0.035934599029765826,4,4,832,15,0.050299715120825414,0.0004038524645853249,3.1751332063229054e-05,relu,64
21,0.11021859058736046,18,0.018018532544374466,0.010045410133898258,0.0013898032484576106,0.011978199676588608,4,4,640,15,0.10501540235715978,0.001098499544011941,5.206525047035305e-05,swish,64
8,0.11736933531395405,26,0.016791492700576782,0.009486370719969273,0.0030619020108133554,0.005989099838294304,3,4,960,25,0.2954044297767479,0.0018681142751959697,2.1118006447731506e-06,relu,128
24,0.1253401813301207,16,0.022550933063030243,0.013072846457362175,0.0003499227750580758,0.005989099838294304,3,4,512,15,0.16494028799733937,0.0011427811876641581,8.131648979702125e-05,swish,64
31,0.1276406382337348,18,0.01715053804218769,0.008172565139830112,-0.00418844074010849,0.029945499191471523,4,3,704,21,0.21595644748030962,0.0005113343025619205,0.0015063757253825668,relu,32
11,0.12891297181821965,19,0.02216796763241291,0.012993862852454185,0.0004923462402075529,0.011978199676588608,3,2,128,25,0.34089100137076317,0.002590478250783691,0.00023594940999113268,relu,128
23,0.14072735330507413,19,0.02230778895318508,0.01395670510828495,0.0014827573904767632,0.0,4,3,384,15,0.21781313191934865,0.00053424247539817,0.00039955279914574964,swish,64
13,0.14132255462613869,25,0.01878366619348526,0.00886849407106638,0.006307731382548809,0.005989099838294304,3,2,256,25,0.23260390393826472,0.0022638996097470118,0.0046863278791853,relu,128
25,0.14255443722483316,13,0.01844753511250019,0.00860169343650341,0.004738457966595888,0.04192369886806013,4,3,640,21,0.26390664068386416,0.001691533247511576,2.5019591686093203e-05,relu,32
30,0.14364796622412912,17,0.019893761724233627,0.010661507025361061,-0.0034556929022073746,0.029945499191471523,4,2,192,15,0.08593646235552785,0.0011624069450833054,0.00029851364759172306,elu,32
15,0.14630011939172616,16,0.021391725167632103,0.011897552758455276,0.0038247706834226847,0.005989099838294304,4,3,576,21,0.33501908820604265,0.0009575505005748736,0.00013754522086038907,relu,64
26,0.14658032562574044,21,0.019023992121219635,0.01141996681690216,0.004004560876637697,0.011978199676588608,3,4,320,21,0.11809543212932257,0.0006010227681124059,8.154234288522068e-05,swish,64
2,0.21795894921859935,23,0.028812309727072716,0.018376169726252556,-0.005207978654652834,0.005989099838294304,3,2,384,11,0.18682099526511076,0.0014447746112718689,9.539146722066813e-06,elu,256
5,0.2493665269813348,28,0.03152323514223099,0.01935555599629879,0.008002914488315582,0.0,1,4,832,21,0.26870215041229617,0.0013780336485752,3.569679952400554e-06,swish,32
9,0.2534975680149219,15,0.036286260932683945,0.023025715723633766,0.0021576774306595325,0.04791279870635443,3,3,448,11,0.1402634929450309,0.0002634777514406047,2.6691294054368943e-06,relu,64
4,0.2855392565899822,17,0.036962393671274185,0.023649465292692184,0.005049281753599644,0.04791279870635443,4,4,960,15,0.06356818667316143,0.0003023795012558478,4.1853531516021084e-05,elu,256
3,0.29735212108853537,24,0.04002150148153305,0.024868495762348175,-0.005454800557345152,0.04192369886806013,4,4,384,15,0.19855307303338104,0.00011240768803005555,0.002459496283204652,elu,256
12,0.29891055946334394,8,0.04112792760133743,0.02793179638683796,-0.0005912529304623604,0.07785829789782596,4,3,576,25,0.2459517158745076,0.0003774474230428913,2.5813750865787263e-05,relu,128
7,0.3160637658422001,22,0.043145131319761276,0.030069490894675255,0.000992544344626367,0.06588009822123735,2,3,960,21,0.0730939729486379,0.000267915616994662,7.060740621969176e-06,relu,256
6,0.31968268962272883,12,0.0398675799369812,0.026554971933364868,0.0035899514332413673,0.08983649757441456,2,3,704,11,0.27823551458506923,0.0006746437142284312,0.0008331634733107854,elu,256
1,0.32733687335439804,17,0.04278218746185303,0.027826249599456787,0.0080864941701293,0.0,2,4,768,11,0.3098528437324805,0.0007725378389307352,0.0005093521419362401,elu,256
