z_min,z_max,n_galaxias,sigma_nmad,bias,outliers_05_%,outliers_15_%
0.6000078320503235,0.6399798035621643,2546,0.006385261282883584,0.0027437126263976097,0.7462686567164178,0.03927729772191674
0.6399798035621643,0.6799517750740052,3084,0.006131758570857346,0.00026875612093135715,0.324254215304799,0.0
0.6799517750740052,0.7199237465858459,3182,0.00682154873739928,0.0008594550890848041,0.5971087366436203,0.0
0.7199237465858459,0.7598957180976867,3087,0.007340507563948631,-0.0005328500992618501,0.45351473922902497,0.0
0.7598957180976867,0.7998676896095276,2810,0.007981376045476645,4.079796781297773e-05,0.42704626334519574,0.0
0.7998676896095276,0.8398396611213684,2095,0.010686305931955575,0.0009826555615291,0.42959427207637235,0.0
0.8398396611213684,0.8798116326332093,1344,0.013765576701052487,-0.004070932045578957,1.5625,0.0
0.8798116326332093,0.91978360414505,847,0.01341176454797387,-0.007515595760196447,1.6528925619834711,0.0
0.91978360414505,0.959755575656891,457,0.014735970126092433,-0.013372967019677162,3.282275711159737,0.0
0.959755575656891,0.9997275471687317,191,0.014477844566479324,-0.024614078924059868,8.900523560209423,0.0
